"Nome","Ingredienti","Prezzo"
"Bosciola","Pomodoro San Marzano, Mozzarella Fior di Latte, Funghi Freschi, Funghi Porcini e Rucola in Uscita","7,00"
"Contadina","Pomodoro San Marzano, Mozzarella Fior di Latte, Salame Piccante Lucano, Olive e Peperoni al Forno","7,00"
"Delicata","Pomodoro San Marzano, Mozzarella Fior di Latte, Bresaola, Rucola e Grana a Scaglia in Uscita","7,00"
"Italiana","Pomodoro San Marzano, Mozzarella Fior di Latte, Prosciutto Crudo, Rucola e Grana a Scaglie in Uscita ","7,00"
"Radicchio e Pancetta","Pomodoro San Marzano, Mozzarella Fior di Latte, Radicchio, Pancetta Arrotolata","7,00"
"Rustica","Pomodoro San Marzano, Mozzarella Fior di Latte, Spinaci, Salsiccia, Grana","7,00"
"Tosta","Pomodoro San Marzano, Mozzarella Fior di Latte, Salame Piccante Lucano, Gorgonzola dolce","7,00"
"Pizzica","Pomodoro San Marzano, Mozzarella Fior di Latte, Auricchio, Funghi Trifolati, Bresaola e rucola in Uscita","7,50"
"Amatriciana","Pomodoro San Marzano, Mozzarella Fior di Latte, Pancetta Arrotolata e Cipolla di Tropea","7,50"
"Atomica","Pomodoro San Marzano, Mozzarella Fior di Latte, Asparagi, Uova, Grana","7,50"
"Beppe","Pomodoro San Marzano, Mozzarella Fior di Latte, Pancetta Arrotolata , Prosciutto Cotto, Wurstel, Funghi Freschi,Salsiccia e Olive Nere Denocciolate","7,50"
"Brie e Noci","Mozzarella Fior di Latte, Brie e Noci","7,50"
"Bufalina","Pomodorini Ciliegino, Mozzarella di Bufala DOP","7,50"
"Estiva","Pomodorino Ciliegino, Mozzarella Fior di Latte, Tono, Capperi","7,50"
"Frutti di Mare","Doppio Pomodoro San Marzano, Frutti di Mare*, Aglio","7,50"
"Gamberetti e Rucola","Doppio Pomodoro San Marzano, Gamberetti*, Aglio e Rucola in Uscita","7,50"
"Gorgonzola e Mele","Mozzarella Fior di Latte, Gorgonzola e Mele","7,50"
"Gorgonzola e Noci","Mozzarella Fior di Latte, Gorgonzola e Noci","7,50"
"Messicana","Pomodoro San Marzano, Mozzarella Fior di Latte, Fagioli, Cipolla di Tropea, Pancetta Arrotolata e Peperoncino","7,50"
"Molitero","Doppio Pomodoro San Marzano, Ricotta, Spinaci, Salame Piccante Lucano","8,00"
"Nordica","Doppio Pomodoro San Marzano, Speck e Brie","7,50"
"Normanna","Doppio Pomodoro San Marzano, Scamorza Affumicata, Pancetta Arrotolata, Peperoni al Forno","7,50"
"Parmigiana","Pomodoro San Marzano, Mozzarella Fior di Latte, Melanzane al Forno, Prosciutto Cotto, Grana","7,50"
"Sarda","Pomodoro San Marzano, Mozzarella Fior di Latte, Salsiccia, Pecorino","7,50"
"Scandinava","Mozzarella Fior di Latte, Panna, Salmone Affumicato e Rucola in Uscita","7,50"
"Vegetariana","Pomodoro San Marzano, Mozzarella Fior di Latte, Radicchio, Patate, Melanzane, Zucchine, Peperoni e Belga al Forno","7,50"
"Mediterranea","Pomodorino Ciliegino, Mozzarella di Bufala DOPe Rucola in Uscita","7,50"
"Delizia","Pomodoro San Marzano, Mozzarella di Bufala DOP, Wurstel, Patate al Forno","8,00"
"Latina","Mozzarella di Bufala DOP, Funghi Trifolati, Salsiccia, Patate al Forno","8,00"
"Lucana","Pomodoro San Marzano, Mozzarella Fior di Latte,Salame Piccante Lucano, Funghi Freschi, Fughi Porcini, Grana, Pomodorini ciliegino","8,00"
